timestamp,x,y,raw_x,raw_y
1741945280588,211.4000,220.4000,215.0000,224.0000
1741945280619,212.0000,221.0000,212.0000,220.0000
1741945280651,213.8000,220.8000,220.0000,219.0000
1741945280684,215.4000,220.6000,221.0000,222.0000
1741945280720,230.6000,232.8000,285.0000,279.0000
1741945280747,276.6000,277.8000,445.0000,449.0000
1741945280785,323.2000,324.4000,445.0000,453.0000
1741945280812,368.2000,371.2000,445.0000,453.0000
1741945280840,400.0000,404.4000,380.0000,388.0000
1741945280888,409.2000,416.4000,331.0000,339.0000
1741945280913,402.6000,410.4000,412.0000,419.0000
1741945280950,385.0000,392.8000,357.0000,365.0000
1741945280988,374.0000,381.2000,390.0000,395.0000
1741945281017,376.2000,384.6000,391.0000,405.0000
1741945281055,377.2000,387.4000,336.0000,353.0000
1741945281083,368.0000,379.2000,366.0000,378.0000
1741945281108,373.0000,384.2000,382.0000,390.0000
1741945281134,368.0000,381.0000,365.0000,379.0000
1741945281158,367.0000,379.4000,386.0000,397.0000
1741945281185,362.4000,373.0000,313.0000,321.0000
1741945281219,346.0000,353.4000,284.0000,280.0000
1741945281251,355.4000,363.8000,429.0000,442.0000
1741945281282,377.6000,386.8000,476.0000,494.0000
1741945281317,382.8000,392.4000,412.0000,425.0000
1741945281350,416.6000,428.0000,482.0000,499.0000
1741945281384,441.0000,454.4000,406.0000,412.0000
1741945281417,443.6000,456.0000,442.0000,450.0000
1741945281453,437.0000,448.6000,443.0000,457.0000
1741945281482,449.4000,460.8000,474.0000,486.0000
1741945281518,452.2000,466.6000,496.0000,528.0000
1741945281552,479.4000,499.8000,542.0000,578.0000
1741945281596,491.2000,507.6000,501.0000,489.0000
1741945281632,499.2000,514.4000,483.0000,491.0000
1741945281663,493.6000,507.8000,446.0000,453.0000
1741945281698,508.4000,518.2000,570.0000,580.0000
1741945281735,507.4000,507.4000,537.0000,524.0000
1741945281768,508.2000,510.6000,505.0000,505.0000
1741945281804,529.4000,526.8000,589.0000,572.0000
1741945281835,555.6000,551.2000,577.0000,575.0000
1741945281868,561.8000,548.6000,601.0000,567.0000
1741945281900,571.4000,557.6000,585.0000,569.0000
1741945281934,587.2000,573.0000,584.0000,582.0000
1741945281967,592.4000,580.8000,615.0000,611.0000
1741945281998,598.4000,582.6000,607.0000,584.0000
1741945282034,592.4000,582.8000,571.0000,568.0000
1741945282068,572.4000,569.6000,485.0000,503.0000
1741945282107,566.8000,558.4000,556.0000,526.0000
1741945282148,541.4000,533.2000,488.0000,485.0000
1741945282185,535.2000,526.2000,576.0000,549.0000
1741945282211,536.2000,522.4000,576.0000,549.0000
1741945282239,552.4000,531.0000,566.0000,546.0000
1741945282262,563.8000,545.4000,613.0000,598.0000
1741945282290,569.0000,551.4000,514.0000,515.0000
1741945282336,566.4000,553.0000,563.0000,557.0000
1741945282370,572.2000,563.4000,605.0000,601.0000
1741945282401,574.6000,568.2000,578.0000,570.0000
1741945282437,565.8000,553.0000,569.0000,522.0000
1741945282467,580.6000,550.2000,588.0000,501.0000
1741945282499,584.4000,526.8000,582.0000,440.0000
1741945282536,577.8000,504.4000,572.0000,489.0000
1741945282568,567.4000,460.4000,526.0000,350.0000
1741945282596,578.0000,423.6000,622.0000,338.0000
1741945282634,587.2000,398.2000,634.0000,374.0000
1741945282663,597.8000,381.8000,635.0000,358.0000
1741945282700,605.2000,338.6000,609.0000,273.0000
1741945282729,638.2000,335.6000,691.0000,335.0000
1741945282767,645.8000,343.6000,660.0000,378.0000
1741945282801,657.8000,317.6000,694.0000,244.0000
1741945282834,658.8000,292.8000,640.0000,234.0000
1741945282870,664.6000,276.4000,638.0000,191.0000
1741945282896,653.2000,257.6000,634.0000,241.0000
1741945282933,668.8000,241.0000,738.0000,295.0000
1741945282960,675.2000,240.4000,726.0000,241.0000
1741945282989,702.2000,249.6000,775.0000,280.0000
1741945283016,727.8000,264.6000,766.0000,266.0000
1741945283049,735.8000,268.8000,674.0000,262.0000
1741945283081,714.0000,254.4000,629.0000,223.0000
1741945283115,711.8000,262.0000,715.0000,279.0000
1741945283149,704.6000,261.4000,739.0000,277.0000
1741945283182,692.8000,260.0000,707.0000,259.0000
1741945283216,685.4000,255.6000,637.0000,240.0000
1741945283248,671.6000,252.4000,560.0000,207.0000
1741945283284,641.4000,243.2000,564.0000,233.0000
1741945283315,601.8000,235.8000,541.0000,240.0000
1741945283350,587.0000,245.2000,633.0000,306.0000
1741945283383,563.6000,241.4000,520.0000,221.0000
1741945283417,557.6000,250.4000,530.0000,252.0000
1741945283450,553.8000,240.4000,545.0000,183.0000
1741945283504,559.2000,250.2000,568.0000,289.0000
1741945283533,518.0000,226.8000,427.0000,189.0000
1741945283566,515.0000,225.0000,505.0000,212.0000
1741945283598,515.6000,219.8000,533.0000,226.0000
1741945283633,510.8000,231.4000,521.0000,241.0000
1741945283684,484.4000,219.2000,436.0000,228.0000
1741945283715,513.2000,239.2000,571.0000,289.0000
1741945283749,512.6000,255.0000,502.0000,291.0000
1741945283782,503.0000,266.8000,485.0000,285.0000
1741945283833,499.0000,274.6000,501.0000,280.0000
1741945283866,508.0000,289.4000,481.0000,302.0000
1741945283898,468.8000,306.6000,375.0000,375.0000
1741945283931,422.4000,303.2000,270.0000,274.0000
1741945283965,373.2000,295.0000,239.0000,244.0000
1741945283997,333.0000,299.4000,300.0000,302.0000
1741945284031,295.0000,298.0000,291.0000,295.0000
1741945284065,279.0000,282.6000,295.0000,298.0000
1741945284099,290.2000,293.4000,326.0000,328.0000
1741945284138,301.8000,304.6000,297.0000,300.0000
1741945284166,299.6000,302.8000,289.0000,293.0000
1741945284199,295.0000,298.4000,268.0000,273.0000
1741945284233,289.4000,293.2000,267.0000,272.0000
1741945284265,273.0000,277.4000,244.0000,249.0000
1741945284306,261.2000,266.4000,238.0000,245.0000
1741945284333,269.6000,274.4000,331.0000,333.0000
1741945284367,285.6000,289.6000,348.0000,349.0000
1741945284400,298.8000,302.4000,333.0000,336.0000
1741945284433,302.4000,306.0000,262.0000,267.0000
1741945284467,308.8000,311.6000,270.0000,273.0000
1741945284502,306.0000,309.0000,317.0000,320.0000
1741945284532,303.4000,306.6000,335.0000,337.0000
1741945284569,293.0000,296.4000,281.0000,285.0000
1741945284599,311.6000,314.4000,355.0000,357.0000
1741945284638,318.8000,321.6000,306.0000,309.0000
1741945284685,321.2000,323.8000,329.0000,331.0000
1741945284716,331.6000,333.8000,387.0000,387.0000
1741945284749,350.0000,351.4000,373.0000,373.0000
1741945284783,348.4000,349.6000,347.0000,348.0000
1741945284816,344.0000,345.6000,284.0000,289.0000
1741945284838,344.8000,346.4000,333.0000,335.0000
1741945284866,318.2000,321.0000,254.0000,260.0000
1741945284892,318.2000,321.0000,373.0000,373.0000
1741945284914,326.6000,329.0000,389.0000,388.0000
1741945284950,343.8000,345.4000,370.0000,371.0000
1741945284983,330.4000,332.8000,266.0000,272.0000
1741945285010,332.8000,335.2000,266.0000,272.0000
1741945285048,327.4000,329.8000,346.0000,346.0000
1741945285076,318.2000,321.0000,343.0000,344.0000
1741945285118,313.2000,316.0000,345.0000,346.0000
1741945285145,336.6000,338.0000,383.0000,382.0000
1741945285173,360.6000,360.6000,386.0000,385.0000
1741945285200,365.2000,365.0000,369.0000,368.0000
1741945285223,368.4000,367.8000,359.0000,358.0000
1741945285249,369.8000,369.0000,352.0000,352.0000
1741945285275,364.4000,363.8000,356.0000,356.0000
1741945285298,358.0000,357.4000,354.0000,353.0000
1741945285333,350.0000,350.0000,329.0000,331.0000
1741945285366,347.8000,348.0000,348.0000,348.0000
1741945285400,354.0000,354.0000,383.0000,382.0000
1741945285433,350.0000,350.0000,336.0000,336.0000
1741945285467,381.0000,379.6000,509.0000,501.0000
1741945285502,424.8000,421.2000,548.0000,539.0000
1741945285534,452.6000,447.8000,487.0000,481.0000
1741945285562,474.0000,467.8000,490.0000,482.0000
1741945285590,492.4000,485.2000,428.0000,423.0000
1741945285627,489.4000,482.4000,494.0000,487.0000
1741945285654,472.2000,465.6000,462.0000,455.0000
1741945285678,463.8000,457.2000,445.0000,439.0000
1741945285701,441.2000,435.6000,377.0000,374.0000
1741945285729,430.2000,425.0000,373.0000,370.0000
1741945285756,400.2000,396.0000,344.0000,342.0000
1741945285783,387.4000,383.8000,398.0000,394.0000
1741945285810,378.0000,374.8000,398.0000,394.0000
1741945285838,376.4000,373.4000,369.0000,367.0000
1741945285865,376.8000,373.8000,375.0000,372.0000
1741945285893,390.0000,386.6000,410.0000,406.0000
1741945285921,401.0000,397.2000,453.0000,447.0000
1741945285951,408.8000,404.6000,437.0000,431.0000
1741945285978,428.8000,423.4000,469.0000,461.0000
